gtaa,wikidata,label,description,lookup,bengwiki
249926,Q4889950,Benny Brunner,programmamaker,"Benny Brunner Benny Brunner - Brunner, Benny ",
91309,Q4920452,Cees Dam,architect,"Cees Dam Cees Dam - Dam, Cees ","Dam,_Cees"
234358,Q4935120,Wijnand Speelman,diskjockey,"Wijnand Speelman Wijnand Speelman - Speelman, Wijnand ","Speelman,_Wijnand"
95640,Q4979202,Bruno Felix,programmamaker,"Bruno Felix Bruno Felix - Felix, Bruno ","Felix,_Bruno"
117383,Q4988723,Arnold Karskens,journalist Nederland,"Arnold Karskens Arnold Karskens - Karskens, Arnold Arnold Karskens",Arnold_Karskens
116696,Q4994700,Pieter van Kampen,programmamaker EO,"Pieter van Kampen Pieter van Kampen - Kampen, Pieter van ","Kampen,_Pieter_van"
158131,Q5010512,Jaap Stobbe,acteur,"Jaap Stobbe Jaap Stobbe - Stobbe, Jaap ","Stobbe,_Jaap"
149026,Q5046252,Edwin Rutten,tv-presentator/zanger,"Edwin Rutten Edwin Rutten - Rutten, Edwin Edwin Alexander Maria Rutten",Edwin_Rutten
239418,Q5073537,Jeroen Grueter,sportcommentator,"Jeroen Grueter Jeroen Grueter - Grueter, Jeroen ",
210032,Q5093658,Ed Anker,lid Tweede Kamer ChristenUnie,"Ed Anker Ed Anker - Anker, Ed ","Anker,_Ed"
171294,Q5108505,Chris Woerts,commercieel directeur Feyenoord,"Chris Woerts Chris Woerts - Woerts, Chris ","Woerts,_Chris"
85439,Q5119903,Gerrit den Braber,producer/presentator,"Gerrit den Braber Gerrit den Braber - Braber, Gerrit den Gerrit den Braber",Gerrit_den_Braber
106554,Q5159515,Isolde Hallensleben,actrice,"Isolde Hallensleben Isolde Hallensleben - Hallensleben, Isolde Isolde Hallensleben",Isolde_Hallensleben
162856,Q5190819,Marjolijn Uitzinger,journalist/tv-presentatrice,"Marjolijn Uitzinger Marjolijn Uitzinger - Uitzinger, Marjolijn Marjolijn Uitzinger",Marjolijn_Uitzinger
225289,Q5194302,Joost de Vries,schrijver,"Joost de Vries Joost de Vries - Vries, Joost de ","Vries,_Joost_de"
91797,Q5220050,Danniel Danniel,programmamaker,"Danniel Danniel<br>דניאל דניאל,Danniel Danniel Danniel Danniel - Danniel, Danniel ","Danniel,_Danniel"
118074,Q5243803,Jan Keulen,journalist/Midden-Oostendeskundige,"Jan Keulen Jan Keulen - Keulen, Jan ","Keulen,_Jan"
160496,Q5249366,Eddy Terstall,regisseur,"Eddy Terstall Eddy Terstall - Terstall, Eddy Eddy Terstal",Eddy_Terstall
153777,Q5276316,Digna Sinke,filmregisseur,"Digna Sinke Digna Sinke - Sinke, Digna ","Sinke,_Digna"
140618,Q5278480,Piet Paulusma,weerman,"Pyt Paulusma,Piet Paulusma Piet Paulusma - Paulusma, Piet Pyt Paulusma",Piet_Paulusma
86560,Q5319840,Peter van Bruggen,radio-programmamaker,"Peter van Bruggen Peter van Bruggen - Bruggen, Peter van ","Bruggen,_Peter_van"
87462,Q5337151,Edgar Burcksen,editor van speelfilms,"Edgar Burcksen Edgar Burcksen - Burcksen, Edgar ","Burcksen,_Edgar"
99352,Q5361114,Eline Flipse,"regisseur, journaliste","Eline Flipse Eline Flipse - Flipse, Eline ","Flipse,_Eline"
143991,Q5365194,Wim van Putten,programmamaker,"Wim van Putten Wim van Putten - Putten, Wim van ","Putten,_Wim_van"
143971,Q5371023,Bas van Putten,"schrijver en presentator, muziekrecensent","Bas van Putten Bas van Putten - Putten, Bas van ","Putten,_Bas_van"
94106,Q5407844,Thea Doelwijt,schrijfster,"Thea Doelwijt Thea Doelwijt - Doelwijt, Thea ","Doelwijt,_Thea"
135874,Q5441475,Joan Nederlof,actrice,"Joan Nederlof Joan Nederlof - Nederlof, Joan ","Nederlof,_Joan"
239110,Q5442907,Femke Wolting,"programmamaakster, medeoprichter en directeur van Submarine","Femke Wolting Femke Wolting - Wolting, Femke ",
82147,Q5442958,Ramon Beuk,kok,"Ramon Beuk Ramon Beuk - Beuk, Ramon ","Beuk,_Ramon"
156836,Q5447351,Jack Spijkerman,presentator/cabaretier,"Jack Spijkerman Jack Spijkerman - Spijkerman, Jack Jacob Dirk Spijkerman",Jack_Spijkerman
134722,Q5498411,Gerard Mulder,programmamaker,"Gerard Mulder Gerard Mulder - Mulder, Gerard ","Mulder,_Gerard"
212134,Q5515921,Rudy Mackay,diskjockey,"Rudy Mackay Rudy Mackay - Mackay, Rudy ","Mackay,_Rudy"
211955,Q5535689,Andrea van Pol,presentator,"Andrea van Pol Andrea van Pol - Pol, Andrea van ","Pol,_Andrea_van"
241350,Q5550136,Gerard Prent,programmamaker,"Gerard Prent Gerard Prent - Prent, Gerard ",
137324,Q5552583,Gerrit Noordzij,grafisch vormgever,"Gerrit Noordzij Gerrit Noordzij - Noordzij, Gerrit ","Noordzij,_Gerrit"
80703,Q5559773,Giel Beelen,diskjockey,"Giel Beelen,Giel Belen,Chiel Beelen Giel Beelen - Beelen, Giel Michiel Antonius Adrianus Beelen",Giel_Beelen
212018,Q5577708,Sarah Meuleman,"recensente, publiciste","Sarah Meuleman Sarah Meuleman - Meuleman, Sarah ","Meuleman,_Sarah"
240904,Q5588386,Kees Schuurman,programmamaker,"Kees Schuurman Kees Schuurman - Schuurman, Kees ",
242321,Q5593923,Eva Koreman,programmamaker,"Eva Koreman Eva Koreman - Koreman, Eva ",
110950,Q5597841,Henny Huisman,tv-presentator Nederland,"Henny Huisman Henny Huisman - Huisman, Henny Hendrikus Josephus Huisman",Henny_Huisman
126555,Q5631432,Joris Linssen,"documentairemaker, presentator","Joris Linssen Joris Linssen - Linssen, Joris Joris Linssen",Joris_Linssen
214007,Q5649511,Hanro Smitsman,regisseur,"Hanro Smitsman Hanro Smitsman - Smitsman, Hanro ","Smitsman,_Hanro"
242746,Q5650685,Hans Rutten,programmamaker,"Hans Rutten Hans Rutten - Rutten, Hans ",
248646,Q5662606,Sebastiaan Timmerman,programmamaker,"Sebastiaan Timmerman Sebastiaan Timmerman - Timmerman, Sebastiaan ",
113626,Q5663976,Harrie Jekkers,cabaretier/popzanger,"Harrie Jekkers Harrie Jekkers - Jekkers, Harrie ","Jekkers,_Harrie"
87857,Q5665636,Frits Butzelaar,acteur/regisseur,"Frits Butzelaar Frits Butzelaar - Butzelaar, Frits Frits Butzelaar",Frits_Butzelaar
105851,Q5699650,Hein van der Heijden,acteur,"Hein van der Heijden Hein van der Heijden - Heijden, Hein van der ","Heijden,_Hein_van_der"
226083,Q5748092,Hetty NaaijkensRetel Helmrich,producent,"Hetty Naaijkens-Retel Helmrich Hetty Naaijkens-Retel Helmrich - Naaijkens-Retel Helmrich, Hetty ","Naaijkens-Retel_Helmrich,_Hetty"
226440,Q5752500,Simonka de Jong,documentairemaakster,"Simonka de Jong Simonka de Jong - Jong, Simonka de ","Jong,_Simonka_de"
101265,Q5807205,Marcel Gelauff,"adjunct-hoofdredacteur NOS Journaal, eindredacteur RTL Nieuws","Marcel Gelauff Marcel Gelauff - Gelauff, Marcel Marcel Gelauff",Marcel_Gelauff
225946,Q5820508,Wilfred Kemp,"journalist, presentator","Wilfred Kemp Wilfred Kemp - Kemp, Wilfred ","Kemp,_Wilfred"
126432,Q5889146,Irene Linders,programmamaker,"Irene Linders Irene Linders - Linders, Irene ","Linders,_Irene"
248523,Q6028333,Ine Poppe,programmamaker,"Ine Poppe Ine Poppe - Poppe, Ine ",
75305,Q6071998,Irma Achten,programmamaker,"Irma Achten Irma Achten - Achten, Irma ","Achten,_Irma"
236576,Q6109752,Jaap van Ginneken,"psycholoog, docent Communicatieve Wetenschappen UvA, auteur","Jaap van Ginneken Jaap van Ginneken - Ginneken, Jaap van ","Ginneken,_Jaap_van"
210276,Q6148615,Jan Breman,"hoogleraar sociologie, Azië-deskundige","Jan Breman Jan Breman - Breman, Jan ","Breman,_Jan"
86364,Q6148622,Jan Brouwer,manager Volendam,"Jan Brouwer Jan Brouwer - Brouwer, Jan ","Brouwer,_Jan"
143639,Q6149757,Jan Prins,journalist Rotterdams Dagblad,"Jan Prins Jan Prins - Prins, Jan ","Prins,_Jan"
250875,Q6150400,Jan van den Bergh,programmamaker,"Jan van den Bergh Jan van den Bergh - Bergh, Jan van den ",
80913,Q6182461,Jeroen Beker,programmamaker,"Ерун Бекер,Jeroen Beker Jeroen Beker - Beker, Jeroen Jeroen Beker",Jeroen_Beker
255180,Q6231893,Ad Wammes,programmamaker,"Ad Wammes Ad Wammes - Wammes, Ad ",
245172,Q6276079,Joop van Wijk,programmamaker,"Joop van Wijk Joop van Wijk - Wijk, Joop van ",
223325,Q6425637,Koert van Mensvoort,"filosoof, kunstenaar","Koert van Mensvoort,Koert Van Mensvoort Koert van Mensvoort - Mensvoort, Koert van ","Mensvoort,_Koert_van"
115051,Q6523882,Leo Jansen,conservator en onderzoeker Van Gogh Museum,"Leo Jansen Leo Jansen - Jansen, Leo ","Jansen,_Leo"
83473,Q6524352,Leo de Boer,filmer,"Leo de Boer Leo de Boer - Boer, Leo de ","Boer,_Leo_de"
103668,Q6687277,Louis Gooren,hoogleraar transseksualiteit,"Louis Gooren Louis Gooren - Gooren, Louis ","Gooren,_Louis"
92705,Q6691449,Peter Delpeut,cineast,"Петер Дельпе,Peter Delpeut Peter Delpeut - Delpeut, Peter ","Delpeut,_Peter"
161814,Q6721191,Maarten Treurniet,regisseur,"Maarten Treurniet Maarten Treurniet - Treurniet, Maarten ","Treurniet,_Maarten"
136218,Q6721205,Maartje Nevejan,actrice,"Maartje Nevejan Maartje Nevejan - Nevejan, Maartje ","Nevejan,_Maartje"
122589,Q6763852,Marina Kulik,diskjockey,"Marina Kulik Marina Kulik - Kulik, Marina ","Kulik,_Marina"
241879,Q6766169,Marjan Smit,programmamaker,"Marjan Smit Marjan Smit - Smit, Marjan ",
229702,Q6793825,Maurits van Rooijen,rector magnificus Nyenrode Business Universiteit,"Maurits van Rooijen Maurits van Rooijen - Rooijen, Maurits van ","Rooijen,_Maurits_van"
157844,Q6873597,Mirjam Sterk,lid Tweede Kamer CDA,"Mirjam Sterk Mirjam Sterk - Sterk, Mirjam ","Sterk,_Mirjam"
82937,Q6961135,Wim Blockmans,historicus,"Wim Blockmans,Willem Blockmans Wim Blockmans - Blockmans, Wim ","Blockmans,_Wim"
